nse,bse,isin
EICHERMOT,505200,INE066A01013
EIDPARRY,500125,INE126A01031
EIHAHOTELS,523127,INE276C01014
EIHOTEL,500840,INE230A01023
EIMCOELECO,523708,INE158B01016
EKC,532684,INE184H01027
ELAND,532820,INE311H01018
ELECON,505700,INE205B01023
ELECTCAST,500128,INE086A01029
ELECTHERM,526608,INE822G01016
ELGIEQUIP,522074,INE285A01027
EMAMIINFRA,533218,INE778K01012
EMAMILTD,531162,INE548C01032
EMCO,504008,INE078A01026
EMKAY,532737,INE296H01011
EMMBI,533161,INE753K01015
ENDURANCE,540153,INE913H01037
ENERGYDEV,532219,INE306C01019
ENGINERSIN,532178,INE510A01028
ENIL,532700,INE265F01028
EON,532658,INE076H01025
EQUITAS,539844,INE988K01017
EQUITAS,539844,INE988K01017
EROSMEDIA,533261,INE416L01017
ESABINDIA,500133,INE284A01012
ESCORTS,500495,INE042A01014
ESL,533264,INE481K01013
ESSARSHPNG,533704,INE122M01019
ESSDEE,532787,INE825H01017
ESSELPACK,500135,INE255A01020
ESTER,500136,INE778B01029
EUROCERA,532823,INE649H01011
EUROMULTI,533109,INE063J01011
EUROTEXIND,521014,INE022C01012
EVEREADY,531508,INE128A01029
EVERESTIND,508906,INE295A01018
EXCEL,533090,INE688J01015
EXCELCROP,532511,INE223G01017
EXCELINDUS,500650,INE369A01029
EXIDEIND,500086,INE302A01020
FACT,524244,INE188A01015
FAGBEARING,505790,INE513A01014
FAIRCHEM,530117,INE959A01019
FCL,533333,INE045J01026
FCONSUMER,533400,INE220J01025
FCSSOFT,532666,INE512B01022
FDC,531599,INE258B01022
FEDDERELEC,500139,INE249C01011
FEDERALBNK,500469,INE171A01029
FEL,523574,INE623B01027
FELDVR,570002,IN9623B01058
FIEMIND,532768,INE737H01014
FILATEX,526227,INE816B01019
FINCABLES,500144,INE235A01022
FINPIPE,500940,INE183A01016
FIRSTWIN,532996,INE315J01015
FLEXITUFF,533638,INE060J01017
FLFL,536507,INE452O01016
FMGOETZE,505744,INE529A01010
FMNL,533296,INE360L01017
FORTIS,532843,INE061F01013
FORTIS,532843,INE061F01013
FOSECOIND,500150,INE519A01011
FRETAIL,540064,INE752P01024
FSL,532809,INE684F01012
GABRIEL,505714,INE524A01029
GAEL,524226,INE036B01022
GAIL,532155,INE129A01019
GAL,533275,INE482J01021
GALLANTT,532726,INE297H01019
GALLISPAT,533265,INE528K01011
GAMMNINFRA,532959,INE181G01025
GAMMONIND,509550,INE259B01020
GANDHITUBE,513108,INE524B01027
GANECOS,514167,INE845D01014
GANESHHOUC,526367,INE460C01014
GANGOTRI,521176,INE670B01028
GARDENSILK,500155,INE526A01016
GARWALLROP,509557,INE276A01018
GATI,532345,INE152B01027
GAYAPROJ,532767,INE336H01023
GDL,532622,INE852F01015
GEECEE,532764,INE916G01016
GEMINI,532318,INE878C01033
GENESYS,506109,INE727B01026
GENUSPAPER,538961,INE949P01018
GENUSPOWER,530343,INE955D01029
GEOJITFSL,532285,INE007B01023
GEPIL,532309,INE878A01011
GESHIP,500620,INE017A01032
GET&D,522275,INE200A01026
GHCL,500171,INE539A01019
GICHSGFIN,511676,INE289B01019
GILLANDERS,532716,INE047B01011
GILLETTE,507815,INE322A01010
GINNIFILA,523325,INE424C01010
GIPCL,517300,INE162A01010
GISOLUTION,533048,INE065J01016
GITANJALI,532715,INE346H01014
GLAXO,500660,INE159A01016
GLENMARK,532296,INE935A01035
GLFL,500174,INE540A01017
GLOBALVECT,532773,INE792H01019
GLOBOFFS,501848,INE446C01013
GLOBUSSPR,533104,INE615I01010
GMBREW,507488,INE075D01018
GMDCLTD,532181,INE131A01031
GMRINFRA,532754,INE776C01039
GNA,540124,INE934S01014
GNFC,500670,INE113A01013
GOACARBON,509567,INE426D01013
GOCLCORP,506480,INE077F01035
GODFRYPHLP,500163,INE260B01028
GODREJCP,532424,INE102D01028
GODREJIND,500164,INE233A01035
GODREJPROP,533150,INE484J01027
GOENKA,533189,INE516K01024
GOKEX,532630,INE887G01027
GOKUL,532980,INE020J01029
GOKULAGRO,539725,INE314T01025
GOLDENTOBC,500151,INE973A01010
GOLDIAM,526729,INE025B01017
GOLDINFRA,532439,INE260D01016
GOLDTECH,531439,INE805A01014
GOODLUCK,530655,INE127I01024
GPIL,532734,INE177H01013
GPPL,533248,INE517F01014
GPTINFRA,533761,INE390G01014
GRANULES,532482,INE101D01020
GRAPHITE,509488,INE371A01025
GRASIM,500300,INE047A01021
GRAVITA,533282,INE024L01027
GREAVESCOT,501455,INE224A01026
GREENFIRE,590057,INE217G01027
GREENLAM,538979,INE544R01013
GREENPLY,526797,INE461C01038
GREENPOWER,533263,INE999K01014
GRINDWELL,506076,INE536A01023
GRPLTD,509152,INE137I01015
GRUH,511288,INE580B01029
GSCLCEMENT,518029,INE542A01039
GSFC,500690,INE026A01025
GSFC,500690,INE026A01025
GSKCONS,500676,INE264A01014
GSPL,532702,INE246F01010
GSS,532951,INE871H01011
GTL,500160,INE043A01012
GTLINFRA,532775,INE221H01019
GTNIND,500170,INE537A01013
GTNTEX,532744,INE302H01017
GTOFFSHORE,532786,INE892H01017
GUFICBIO,509079,INE742B01025
GUJALKALI,530001,INE186A01019
GUJAPOLLO,522217,INE826C01016
GUJFLUORO,500173,INE538A01037
GUJGASLTD,539336,INE844O01022
GUJNRECOKE,512579,INE110D01013
GUJNREDVR,570003,IN9110D01011
GULFOILLUB,538567,INE635Q01029
GULFPETRO,532543,INE586G01017
GULPOLY,532457,INE255D01024
GVKPIL,532708,INE251H01024
HANUNG,532770,INE648H01013
HARITASEAT,590043,INE939D01015
HARRMALAYA,500467,INE544A01019
HATHWAY,533162,INE982F01036
HATSUN,531531,INE473B01035
HAVELLS,517354,INE176B01034
HBLPOWER,517271,INE292B01021
HBSTOCK,532216,INE550B01014
HCC,500185,INE549A01026
HCG,539787,INE075I01017
